,0
0,1/31/2000
1,2/29/2000
2,3/31/2000
3,4/28/2000
4,5/31/2000
5,6/30/2000
6,7/31/2000
7,8/31/2000
8,9/29/2000
9,10/31/2000
10,11/30/2000
11,12/29/2000
12,1/31/2001
13,2/28/2001
14,3/30/2001
15,4/30/2001
16,5/31/2001
17,6/29/2001
18,7/31/2001
19,8/31/2001
20,9/28/2001
21,10/31/2001
22,11/30/2001
23,12/31/2001
24,1/31/2002
25,2/28/2002
26,3/29/2002
27,4/30/2002
28,5/31/2002
29,6/28/2002
30,7/31/2002
31,8/30/2002
32,9/30/2002
33,10/31/2002
34,11/29/2002
35,12/31/2002
36,1/31/2003
37,2/28/2003
38,3/31/2003
39,4/30/2003
40,5/30/2003
41,6/30/2003
42,7/31/2003
43,8/29/2003
44,9/30/2003
45,10/31/2003
46,11/28/2003
47,12/31/2003
48,1/30/2004
49,2/27/2004
50,3/31/2004
51,4/30/2004
52,5/31/2004
53,6/30/2004
54,7/30/2004
55,8/31/2004
56,9/30/2004
57,10/29/2004
58,11/30/2004
59,12/31/2004
60,1/31/2005
61,2/28/2005
62,3/31/2005
63,4/29/2005
64,5/31/2005
65,6/30/2005
66,7/29/2005
67,8/31/2005
68,9/30/2005
69,10/31/2005
70,11/30/2005
71,12/30/2005
72,1/31/2006
73,2/28/2006
74,3/31/2006
75,4/28/2006
76,5/31/2006
77,6/30/2006
78,7/31/2006
79,8/31/2006
80,9/29/2006
81,10/31/2006
82,11/30/2006
83,12/29/2006
84,1/31/2007
85,2/28/2007
86,3/30/2007
87,4/30/2007
88,5/31/2007
89,6/29/2007
90,7/31/2007
91,8/31/2007
92,9/28/2007
93,10/31/2007
94,11/30/2007
95,12/31/2007
96,1/31/2008
97,2/29/2008
98,3/31/2008
99,4/30/2008
100,5/30/2008
101,6/30/2008
102,7/31/2008
103,8/29/2008
104,9/30/2008
105,10/31/2008
106,11/28/2008
107,12/31/2008
108,1/30/2009
109,2/27/2009
110,3/31/2009
111,4/30/2009
112,5/29/2009
113,6/30/2009
114,7/31/2009
115,8/31/2009
116,9/30/2009
117,10/30/2009
118,11/30/2009
119,12/31/2009
120,1/29/2010
121,2/26/2010
122,3/31/2010
123,4/30/2010
124,5/31/2010
125,6/30/2010
126,7/30/2010
127,8/31/2010
128,9/30/2010
129,10/29/2010
130,11/30/2010
131,12/31/2010
132,1/31/2011
133,2/28/2011
134,3/31/2011
135,4/29/2011
136,5/31/2011
137,6/30/2011
138,7/29/2011
139,8/31/2011
140,9/30/2011
141,10/31/2011
142,11/30/2011
143,12/30/2011
144,1/31/2012
145,2/29/2012
146,3/30/2012
147,4/30/2012
148,5/31/2012
149,6/29/2012
150,7/31/2012
151,8/31/2012
152,9/28/2012
153,10/31/2012
154,11/30/2012
155,12/31/2012
156,1/31/2013
157,2/28/2013
158,3/29/2013
159,4/30/2013
160,5/31/2013
161,6/28/2013
162,7/31/2013
163,8/30/2013
164,9/30/2013
165,10/31/2013
166,11/29/2013
167,12/31/2013
168,1/31/2014
169,2/28/2014
170,3/31/2014
171,4/30/2014
172,5/30/2014
173,6/30/2014
174,7/31/2014
175,8/29/2014
176,9/30/2014
177,10/31/2014
178,11/28/2014
179,12/31/2014
180,1/30/2015
181,2/27/2015
182,3/31/2015
183,4/30/2015
184,5/29/2015
185,6/30/2015
186,7/31/2015
187,8/31/2015
188,9/30/2015
189,10/30/2015
190,11/30/2015
191,12/31/2015
192,1/29/2016
193,2/29/2016
194,3/31/2016
195,4/29/2016
196,5/31/2016
197,6/30/2016
198,7/29/2016
199,8/31/2016
200,9/30/2016
201,10/31/2016
202,11/30/2016
203,12/30/2016
204,1/31/2017
205,2/28/2017
206,3/31/2017
207,4/28/2017
208,5/31/2017
209,6/30/2017
210,7/31/2017
211,8/31/2017
212,9/29/2017
213,10/31/2017
214,11/30/2017
215,12/29/2017
216,1/31/2018
217,2/28/2018
218,3/30/2018
219,4/30/2018
220,5/31/2018
221,6/29/2018
222,7/31/2018
223,8/31/2018
224,9/28/2018
225,10/31/2018
226,11/30/2018
227,12/31/2018
228,1/31/2019
229,2/28/2019
230,3/29/2019
231,4/30/2019
232,5/31/2019
233,6/28/2019
234,7/31/2019
235,8/30/2019
236,9/30/2019
237,10/31/2019
238,11/29/2019
239,12/31/2019
240,1/31/2020
241,2/28/2020
242,3/31/2020
243,4/30/2020
244,5/29/2020
245,6/30/2020
246,7/31/2020
247,8/31/2020
248,9/30/2020
249,10/30/2020
250,11/30/2020
251,12/31/2020
252,1/29/2021
253,2/26/2021
254,3/31/2021
255,4/30/2021
256,5/31/2021
257,6/30/2021
258,7/30/2021
259,8/31/2021
260,9/30/2021
261,10/29/2021
262,11/30/2021
263,12/31/2021
264,1/31/2022
265,2/28/2022
266,3/31/2022
267,4/29/2022
268,5/31/2022
269,6/30/2022
270,7/29/2022
271,8/31/2022
,
,
,
,
